id,name,short_description,category,price,stock_status,materials,personalization,lead_time_days,colors,tags,permalink,image_url
1,Botella Termica Acero 750ml,Botella termica de acero inoxidable doble pared. Mantiene frio 24hs y calor 12hs. Tapa rosca con agarre.,Botellas y Termos,8500,instock,acero inoxidable,serigrafia;grabado_laser,10,negro;blanco;azul;rojo,botella;termica;acero;corporativo,
2,Botella Termica Premium 1L,Botella premium de acero inoxidable 1 litro. Acabado mate. Tapa sport con pico.,Botellas y Termos,12500,instock,acero inoxidable,grabado_laser,10,negro;plata;azul oscuro,botella;termica;premium;ejecutivo,
3,Botella Tritan 600ml,Botella de plastico tritan libre de BPA. Liviana y resistente. Tapa flip con traba.,Botellas y Termos,3200,instock,tritan,serigrafia;sublimacion,7,transparente;azul;verde;rosa,botella;plastica;economica;deporte,
4,Mate Acero Inoxidable,Mate de acero inoxidable con bombilla incluida. Terminacion premium.,Mates,7800,instock,acero inoxidable,grabado_laser,12,negro;plateado,mate;bombilla;argentino;regalo,
5,Taza Ceramica 350ml,Taza de ceramica clasica con interior blanco. Apta microondas.,Tazas,2800,instock,ceramica,sublimacion,7,blanco;negro,taza;ceramica;oficina;sublimable,
6,Mochila Urbana 20L,Mochila urbana con compartimento para notebook 15 pulgadas. Bolsillo frontal y laterales.,Mochilas y Bolsos,15000,instock,poliester 600D,serigrafia;bordado,15,negro;gris;azul,mochila;notebook;urbana;corporativo,
7,Mochila Ejecutiva Cuero Sintetico,Mochila ejecutiva en cuero sintetico con porta notebook acolchado. Bolsillo antirrobo.,Mochilas y Bolsos,22000,instock,cuero sintetico,grabado_laser;bordado,18,negro;marron,mochila;ejecutiva;premium;cuero,
8,Totebag Algodon Organico,Totebag de algodon organico 100%. Asas largas reforzadas. Bolsillo interno.,Mochilas y Bolsos,3500,instock,algodon organico,serigrafia;sublimacion;transfer,5,crudo;negro;azul,totebag;ecologico;sustentable;feria,
9,Rinonera Deportiva,Rinonera deportiva con cierre resistente al agua. Correa ajustable.,Mochilas y Bolsos,5500,instock,nylon,serigrafia;sublimacion,8,negro;rojo;azul,rinonera;deporte;activacion,
10,Remera Algodon 24/1,Remera unisex algodon peinado 24/1. Cuello redondo reforzado.,Indumentaria,4500,instock,algodon peinado,serigrafia;sublimacion;vinilo,7,blanco;negro;gris;azul;rojo,remera;basica;algodon;evento,
11,Remera Dry-Fit Deportiva,Remera deportiva dry-fit con costuras planas. Secado rapido.,Indumentaria,5800,instock,poliester dry-fit,sublimacion,7,blanco;negro;azul;amarillo;rojo,remera;deportiva;maraton;dry-fit,
12,Chomba Pique Algodon,Chomba polo clasica en pique de algodon. Cuello y punos acanalados.,Indumentaria,7200,instock,algodon pique,bordado;serigrafia,10,blanco;negro;azul;celeste,chomba;polo;corporativo;uniforme,
13,Gorra Trucker,Gorra trucker con frente rigido y red trasera. Broche snapback.,Indumentaria,3800,instock,algodon;poliester,bordado;serigrafia;transfer,8,negro;blanco;azul;rojo,gorra;trucker;deporte;outdoor,
14,Campera Softshell,Campera softshell con interior micropolar. Resistente al agua y viento.,Indumentaria,18500,low_stock,softshell,bordado;serigrafia,20,negro;azul;gris,campera;softshell;outdoor;premium;invierno,
15,Powerbank 10000mAh,Powerbank de 10000mAh con doble salida USB y tipo C. Indicador LED.,Tecnologia,9500,instock,plastico;aluminio,serigrafia;grabado_laser,10,blanco;negro;plateado,powerbank;cargador;tecnologia;regalo,
16,Parlante Bluetooth Portatil,Parlante bluetooth 5.0 con 8hs de bateria. Resistente a salpicaduras IPX4.,Tecnologia,8200,instock,plastico;silicona,serigrafia;impresion_uv,12,negro;azul;rojo,parlante;bluetooth;musica;regalo,
17,Auriculares Inalambricos TWS,Auriculares true wireless con estuche de carga. Bluetooth 5.3.,Tecnologia,11000,instock,plastico,serigrafia;impresion_uv,12,blanco;negro,auriculares;wireless;tecnologia;premium,
18,Soporte Celular Escritorio,Soporte ajustable para celular y tablet. Base antideslizante.,Tecnologia,2500,instock,aluminio,grabado_laser,7,plateado;negro,soporte;celular;escritorio;oficina,
19,Hub USB-C 4 Puertos,Hub USB-C con 4 puertos USB 3.0. Cable integrado.,Tecnologia,6500,instock,aluminio,grabado_laser,10,plateado;gris,hub;usb;tecnologia;oficina,
20,Lapicera Metal Ejecutiva,Lapicera de metal con mecanismo twist. Tinta azul. Presentacion en estuche.,Escritura,4200,instock,metal,grabado_laser,7,plateado;negro;dorado,lapicera;metal;ejecutiva;regalo,
21,Boligrafo Plastico Economico,Boligrafo plastico con grip de goma. Tinta azul. Ideal cantidad.,Escritura,800,instock,plastico,serigrafia;tampografia,5,azul;negro;rojo;verde,boligrafo;economico;cantidad;feria,
22,Cuaderno A5 Tapa Dura,Cuaderno A5 con tapa dura y elastico. 80 hojas rayadas. Bolsillo interno.,Escritura,3500,instock,papel;carton;cuero sintetico,serigrafia;grabado_laser,10,negro;azul;rojo;verde,cuaderno;agenda;oficina;regalo,
23,Set Escritura Premium,Set con lapicera metal y boligrafo en estuche de cuero sintetico.,Escritura,8500,instock,metal;cuero sintetico,grabado_laser,10,negro;plateado,set;escritura;premium;ejecutivo;regalo,
24,Paraguas Automatico,Paraguas automatico apertura y cierre. Estructura reforzada antiviento.,Aire Libre,6500,instock,poliester;fibra vidrio,serigrafia;sublimacion,12,negro;azul;rojo,paraguas;lluvia;corporativo,
25,Cooler Plegable 15L,Cooler termico plegable de 15 litros. Correa ajustable. Interior aislado.,Aire Libre,9800,instock,poliester;material termico,serigrafia;sublimacion,15,azul;negro;rojo,cooler;picnic;outdoor;evento,
26,Kit Bienvenida Basico,Kit: totebag + botella tritan + cuaderno A5 + boligrafo. Todo personalizable.,Kits,12000,instock,varios,serigrafia;sublimacion,10,varios,kit;bienvenida;onboarding;rrhh;nuevo empleado,
27,Kit Bienvenida Premium,Kit: mochila urbana + botella termica + cuaderno + lapicera metal. Caja presentacion.,Kits,32000,instock,varios,serigrafia;grabado_laser;bordado,15,varios,kit;bienvenida;premium;onboarding,
28,Kit Evento Outdoor,Kit: gorra + botella tritan + rinonera. Ideal activaciones y eventos deportivos.,Kits,11500,instock,varios,serigrafia;sublimacion,10,varios,kit;evento;outdoor;deporte;activacion,
29,Kit Ejecutivo Premium,Kit: portafolio cuero + lapicera metal + powerbank. Caja premium con cierre magnetico.,Kits,38000,low_stock,cuero genuino;metal;aluminio,grabado_laser,18,negro,kit;ejecutivo;premium;regalo;directivo,
30,Bolsa Reutilizable TNT,Bolsa de tela no tejida reutilizable. Asas reforzadas. Varios tamanos.,Ecologico,1200,instock,tela no tejida,serigrafia,5,crudo;blanco;azul;verde;rojo,bolsa;reutilizable;ecologico;feria;economico,
31,Set Cubiertos Bambu,Set de cubiertos de bambu con estuche de tela: cuchillo tenedor cuchara palitos.,Ecologico,3800,instock,bambu;tela,grabado_laser,10,natural,cubiertos;bambu;ecologico;sustentable;almuerzo,
32,Cuaderno Semillas,Cuaderno A5 de papel reciclado con tapa que se puede plantar (contiene semillas).,Ecologico,4500,instock,papel reciclado;semillas,serigrafia,12,verde;crudo;marron,cuaderno;semillas;ecologico;sustentable;innovador,
33,Botella Reciclada 500ml,Botella de plastico 100% reciclado. Tapa rosca. Certificacion ambiental.,Ecologico,4200,instock,plastico reciclado,serigrafia;sublimacion,8,transparente;verde;azul,botella;reciclada;ecologico;sustentable,
34,Organizador Escritorio Madera,Organizador de escritorio en madera con 4 compartimentos y porta celular.,Oficina,5500,instock,madera MDF,grabado_laser,12,natural;negro,organizador;escritorio;oficina;madera;regalo,
35,Mousepad Premium,Mousepad con base antideslizante y superficie textil premium. 25x20cm.,Oficina,2200,instock,goma;textil,sublimacion,7,negro,mousepad;oficina;escritorio;sublimable,
36,Set Oficina Cuero Sintetico,Set de escritorio: porta tarjetas + porta lapices + porta notas. Cuero sintetico.,Oficina,9500,instock,cuero sintetico,grabado_laser,12,negro;marron,set;oficina;escritorio;ejecutivo;cuero,
37,Portafolio Cuero Genuino,Portafolio A4 en cuero genuino con cierre. Bolsillos internos para documentos y tablet.,Premium,25000,instock,cuero genuino,grabado_laser,20,negro;marron,portafolio;cuero;premium;ejecutivo,
38,Set Vino Premium,Set de vino: sacacorchos profesional + vertedor + tapon + cortacapsulas. Estuche madera.,Premium,15000,instock,acero inoxidable;madera,grabado_laser,15,plateado;madera,set;vino;premium;regalo;ejecutivo,
39,Billetera Cuero RFID,Billetera de cuero genuino con proteccion RFID. Capacidad 8 tarjetas.,Premium,12000,instock,cuero genuino,grabado_laser,15,negro;marron,billetera;cuero;premium;rfid;ejecutivo,
40,Reloj Escritorio Madera,Reloj de escritorio en madera con display LCD: hora fecha temperatura.,Premium,8500,instock,madera;LCD,grabado_laser,12,madera natural,reloj;escritorio;premium;madera;regalo